Creation Time: 2021_8_30-3-18-33
3-18-33 | [INFO] TZToxicZoneCore - Started ! => Loading config...
3-18-33 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
3-18-33 | [INFO] TZToxicZoneServer - Started
3-20-3 | [INFO] [TZ STATIC TOXICZONE] - StartParticles
3-20-4 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
3-20-4 | [INFO] [LOOTSYSTEM]: TZCreature equal to 0!
3-20-4 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
3-20-4 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
3-20-4 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
3-20-4 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
3-20-4 | [INFO] Cases count:9
3-20-4 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army1- Position: X:8010.2 Y:340.288 Z:14654.2
3-20-4 | [INFO] ToxicCure
3-20-4 | [INFO] AmmoBox_545x39_20Rnd
3-20-4 | [INFO] AmmoBox_762x39_20Rnd
3-20-4 | [INFO] AmmoBox_762x54_20Rnd
3-20-4 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
3-20-4 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
3-20-4 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZTisy- IsLootActive=true
3-20-4 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
3-20-4 | [INFO] Cases count:16
3-20-4 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army2- Position: X:1988.6 Y:450.254 Z:13817
3-20-4 | [INFO] FAL
3-20-4 | [INFO] Fal_FoldingBttstck
3-20-4 | [INFO] Fal_OeBttstck
3-20-4 | [INFO] Mag_FAL_20Rnd
3-20-4 | [INFO] ToxicCure
3-20-4 | [INFO] AmmoBox_545x39_20Rnd
3-20-4 | [INFO] AmmoBox_556x45_20Rnd
3-20-4 | [INFO] AmmoBox_762x39_20Rnd
3-20-4 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
3-20-4 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
