Creation Time: 2021_9_2-5-2-26
5-2-26 | [INFO] TZToxicZoneCore - Started ! => Loading config...
5-2-26 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
5-2-26 | [INFO] TZToxicZoneServer - Started
5-3-7 | [INFO] [TZ STATIC TOXICZONE] - StartParticles
5-3-8 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
5-3-8 | [INFO] [LOOTSYSTEM]: TZCreature equal to 0!
5-3-8 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
5-3-8 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
5-3-8 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
5-3-8 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
5-3-8 | [INFO] Cases count:9
5-3-8 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army2- Position: X:7832.35 Y:357.1 Z:14794
5-3-8 | [INFO] AK74
5-3-8 | [INFO] AK_RailHndgrd_Black
5-3-8 | [INFO] AK74_WoodBttstck
5-3-8 | [INFO] AK_Suppressor
5-3-8 | [INFO] FAL
5-3-8 | [INFO] Fal_FoldingBttstck
5-3-8 | [INFO] Fal_OeBttstck
5-3-8 | [INFO] ToxicCure
5-3-8 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
5-3-8 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
5-3-8 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZTisy- IsLootActive=true
5-3-8 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
5-3-8 | [INFO] Cases count:16
5-3-8 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army2- Position: X:1722.44 Y:451.94 Z:13721.4
5-3-8 | [INFO] AK74
5-3-8 | [INFO] AK_RailHndgrd_Black
5-3-8 | [INFO] AK_Bayonet
5-3-8 | [INFO] AK_FoldingBttstck_Black
5-3-8 | [INFO] AK_Suppressor
5-3-8 | [INFO] FAL
5-3-8 | [INFO] Fal_FoldingBttstck
5-3-8 | [INFO] Fal_OeBttstck
5-3-8 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
5-3-8 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
5-48-8 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
5-48-8 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
5-48-8 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
5-48-8 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
5-48-8 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
5-48-8 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
5-48-8 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
5-48-8 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
5-48-8 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
5-48-8 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
5-48-8 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
5-48-8 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
5-48-8 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
5-48-8 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
5-48-8 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
5-48-8 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
5-48-8 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
