Creation Time: 2021_9_2-9-2-22
9-2-22 | [INFO] TZToxicZoneCore - Started ! => Loading config...
9-2-22 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
9-2-22 | [INFO] TZToxicZoneServer - Started
9-3-3 | [INFO] [TZ STATIC TOXICZONE] - StartParticles
9-3-4 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
9-3-4 | [INFO] [LOOTSYSTEM]: TZCreature equal to 0!
9-3-4 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
9-3-4 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
9-3-4 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
9-3-4 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
9-3-4 | [INFO] Cases count:9
9-3-4 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army1- Position: X:8040.3 Y:340.252 Z:14611.3
9-3-4 | [INFO] ToxicCure
9-3-4 | [INFO] AmmoBox_545x39_20Rnd
9-3-4 | [INFO] AmmoBox_556x45_20Rnd
9-3-4 | [INFO] AmmoBox_762x39_20Rnd
9-3-4 | [INFO] AmmoBox_762x54_20Rnd
9-3-4 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
9-3-4 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
9-3-4 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZTisy- IsLootActive=true
9-3-4 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
9-3-4 | [INFO] Cases count:16
9-3-4 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army1- Position: X:1386.16 Y:464.569 Z:14422.1
9-3-4 | [INFO] AKM
9-3-4 | [INFO] Mag_AKM_30Rnd
9-3-4 | [INFO] PSO1Optic
9-3-4 | [INFO] AK_PlasticHndgrd
9-3-4 | [INFO] AK_RailHndgrd_Black
9-3-4 | [INFO] AK_FoldingBttstck_Black
9-3-4 | [INFO] M4A1
